"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145396590909091,0.144089898989899,0.199001422764228,0.165836901408451,0.141033007334963,0.151122222222222,0.15300421286031,0.143921700879765,0.149272676056338,0.152190789473684,0.169435779816514,0.166789152542373,0.135038539042821,0.155134501845018,0.173204028436019,0.169249130434783,0.14945107398568,0.162539302325581,0.175974526315789,0.17513536121673,0.149225787401575,0.160651621621622,0.148861894273128,0.159978703703704,0.153342587601078,0.157295786516854,0.177313636363636,0.168479859484778,0.135286247086247,0.142246350364964,0.153323622047244,0.165968316831683,0.133242589437819,0.132257894736842
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201694565217391,0.139425,0.148953872053872,0.19762012195122,0.158774929577465,0.13919902200489,0.151005833333333,0.155794013303769,0.143185923753666,0.148915211267606,0.156288421052632,0.166359403669725,0.166842033898305,0.135377078085642,0.151684501845018,0.170148578199052,0.155231739130435,0.145786634844869,0.156735813953488,0.171767368421053,0.160130038022814,0.142287795275591,0.158738108108108,0.143500881057269,0.152912345679012,0.145671698113208,0.147616292134831,0.159667482517483,0.151814519906323,0.137096736596737,0.118828102189781,0.143335433070866,0.153597524752475,0.121980068143101,0.131812280701754
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161354520547945,0.204969202898551,0.143733333333333,0.148682491582492,0.195181707317073,0.161000845070423,0.143239119804401,0.151558611111111,0.153078935698448,0.141272434017595,0.14623661971831,0.156750263157895,0.171988532110092,0.169070847457627,0.135645088161209,0.150590405904059,0.172062085308057,0.151151739130435,0.142638663484487,0.154278837209302,0.173692842105263,0.15959391634981,0.146649015748031,0.157539189189189,0.134901762114537,0.143101234567901,0.144839892183288,0.137694662921348,0.161537412587413,0.155868149882904,0.128954312354312,0.119975547445255,0.132126509186352,0.151881188118812,0.128759284497445,0.126388304093567
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189004444444444,0.165417534246575,0.210076449275362,0.145904924242424,0.152852861952862,0.195606097560976,0.167464788732394,0.139642298288509,0.151286944444444,0.154724611973392,0.146850439882698,0.150235774647887,0.157770263157895,0.163116743119266,0.171854237288136,0.148252896725441,0.156315129151292,0.177893838862559,0.163768260869565,0.148732219570406,0.164986046511628,0.176898315789474,0.157165399239544,0.156165748031496,0.167155405405405,0.144771365638767,0.156066049382716,0.162121563342318,0.149607865168539,0.166274125874126,0.14986206088993,0.12896993006993,0.123848905109489,0.139853805774278,0.152679455445545,0.127988074957411,0.140522222222222
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165452234636872,0.182216507936508,0.166610410958904,0.204895652173913,0.142208333333333,0.146482828282828,0.194414024390244,0.166562816901408,0.144805134474328,0.153410833333333,0.155310199556541,0.144478885630499,0.149158591549296,0.158827105263158,0.16277752293578,0.167813559322034,0.144551133501259,0.146776383763838,0.166370142180095,0.145562173913043,0.142124582338902,0.150140930232558,0.168386105263158,0.141458174904943,0.140073818897638,0.151897297297297,0.128335682819383,0.138363888888889,0.14054204851752,0.129357865168539,0.159611888111888,0.142721779859485,0.121169230769231,0.110794160583942,0.135837007874016,0.151986386138614,0.115924701873935,0.111602339181287
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150894638694639,0.167667318435754,0.194602222222222,0.171393150684932,0.20943768115942,0.154808333333333,0.153942424242424,0.196814634146341,0.182270704225352,0.1625195599022,0.163685,0.167605764966741,0.148629618768328,0.157352957746479,0.182183421052632,0.195751146788991,0.201421016949153,0.201272795969773,0.195720479704797,0.211188625592417,0.204065217391304,0.198499284009547,0.212476511627907,0.193379368421053,0.217208745247148,0.199674606299213,0.21995,0.180242070484581,0.17880524691358,0.220158760107817,0.187101685393258,0.21882027972028,0.179047306791569,0.163500233100233,0.200247080291971,0.196905774278215,0.211108910891089,0.147144804088586,0.161961403508772
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164018867924528,0.151173193473193,0.163050558659218,0.183740952380952,0.174307671232877,0.215124275362319,0.144876893939394,0.15223164983165,0.196587195121951,0.168412394366197,0.144742298288509,0.154481111111111,0.156833481152993,0.141002639296188,0.148874366197183,0.164236052631579,0.164992660550459,0.171431525423729,0.143809571788413,0.157664206642066,0.171451658767772,0.164299347826087,0.147987828162291,0.161431395348837,0.169837894736842,0.148472623574144,0.155132086614173,0.145415405405405,0.14109140969163,0.131858024691358,0.14109218328841,0.12867893258427,0.149136713286713,0.14866018735363,0.130051515151515,0.123458759124088,0.129332020997375,0.151162871287129,0.113605110732538,0.125783040935673
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145657680250784,0.168987547169811,0.15021048951049,0.15865530726257,0.18106253968254,0.166230410958904,0.213065579710145,0.144506439393939,0.149518518518519,0.199351016260163,0.164741126760563,0.141352567237164,0.153080277777778,0.15320310421286,0.140168328445748,0.148444788732394,0.160751052631579,0.163832568807339,0.164351186440678,0.128462468513854,0.150028044280443,0.168765402843602,0.153996739130435,0.139896897374702,0.14958488372093,0.167178947368421,0.147551330798479,0.135478149606299,0.14078027027027,0.128956828193833,0.126843827160494,0.12892102425876,0.115630898876405,0.145232517482518,0.139985480093677,0.117046853146853,0.106299635036496,0.12170157480315,0.143784158415842,0.111311925042589,0.109938011695906
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157594510739857,0.153265517241379,0.173136981132075,0.147897202797203,0.160464525139665,0.176849841269841,0.174956438356164,0.207985144927536,0.142706060606061,0.159873737373737,0.198509959349593,0.164778873239437,0.14308435207824,0.153760555555556,0.152785809312639,0.147646041055718,0.153049014084507,0.165138684210526,0.162312844036697,0.16498,0.137829471032746,0.14904741697417,0.162885071090047,0.138760434782609,0.13099522673031,0.147608372093023,0.160534526315789,0.13958783269962,0.135042125984252,0.126971891891892,0.130373788546256,0.125622222222222,0.131059838274933,0.113208146067416,0.139938111888112,0.138944730679157,0.117729603729604,0.109659489051095,0.118448031496063,0.129243811881188,0.10355468483816,0.105289473684211
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173306993006993,0.160550835322196,0.158349529780564,0.169501886792453,0.152202564102564,0.166843016759777,0.187765079365079,0.174149863013699,0.210894927536232,0.148455303030303,0.164004713804714,0.207082113821138,0.169707323943662,0.157451344743276,0.157141388888889,0.172862305986696,0.174060997067449,0.16810985915493,0.172863421052632,0.181207568807339,0.181100338983051,0.171898992443325,0.162122693726937,0.186952843601896,0.180882173913043,0.161052267303103,0.17437488372093,0.176348,0.17897680608365,0.168411023622047,0.166657297297297,0.154581718061674,0.164681481481481,0.142263342318059,0.156658426966292,0.17607972027972,0.169825292740047,0.151525874125874,0.16142299270073,0.148769291338583,0.173761386138614,0.125387052810903,0.13446081871345
